Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"No cluster in current Unigene and no Genbank entry for H70323 (qualifier H70323_i)"	H70323_i	30	P	26	M	30	M	29	A	22	P	24	P	33	P	11	A	1	A	5	A	4	A	7	A	-4	A	51	A	18	A	19	P	23	M
"No cluster in current Unigene and no Genbank entry for H70323 (qualifier H70323_r)"	H70323_r	64	A	168	P	88	A	81	A	69	P	69	P	100	P	48	P	22	A	30	A	28	A	17	A	22	A	96	A	83	P	85	P	103	M
"No cluster in current Unigene and no Genbank entry for H70425 (qualifier H70425_f)"	H70425_f	153	P	114	P	202	P	246	P	172	P	198	P	281	P	215	P	26	A	53	P	101	P	83	P	105	P	231	P	211	P	186	P	223	P
"No cluster in current Unigene and no Genbank entry for H70487 (qualifier H70487)"	H70487	2	A	4	A	6	A	3	A	-9	A	2	A	4	A	-2	A	3	A	5	A	-2	A	4	A	-3	A	17	P	2	A	4	A	6	A
"ESTs"	H70491	2	A	-7	A	6	A	0	A	6	A	1	A	5	A	-2	A	1	A	0	A	-1	A	1	A	-1	A	2	A	-2	A	-1	A	0	A
"No cluster in current Unigene and no Genbank entry for H70604 (qualifier H70604)"	H70604	4	A	-6	A	-3	A	-12	A	0	A	-2	A	0	A	-3	A	-1	A	3	A	6	A	3	A	1	A	6	A	2	A	-1	A	2	A
"No cluster in current Unigene and no Genbank entry for H70609 (qualifier H70609)"	H70609	30	A	60	A	63	A	-16	A	-2	A	-15	A	-7	A	-10	A	6	A	11	A	38	A	-3	A	-7	A	2	A	-9	A	-3	A	-5	A
"CDK6 Cyclin-dependent kinase 6"	H70635	9	A	6	A	10	P	19	P	3	A	2	A	8	A	13	P	15	A	2	A	0	A	2	A	-1	A	28	P	19	P	8	A	12	P
"No cluster in current Unigene and no Genbank entry for H70833 (qualifier H70833)"	H70833	9	A	-50	A	-15	A	-13	A	-16	A	-17	A	-24	A	-18	A	-16	A	-6	A	-12	A	-10	A	-18	A	-23	A	-24	A	-22	A	-16	A
"PPP3CA Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha){alternative products}"	H70857	-14	A	-21	A	-8	A	-7	A	5	A	-6	A	-5	A	-4	A	-4	A	3	A	-1	A	-5	A	3	A	-1	A	-8	A	-7	A	-9	A
"No cluster in current Unigene and no Genbank entry for H70868 (qualifier H70868)"	H70868	-4	A	-6	A	-6	A	-3	A	4	A	4	A	9	A	23	A	18	A	5	A	1	A	9	A	11	P	-3	A	9	A	3	A	-6	A
"No cluster in current Unigene and no Genbank entry for H70878 (qualifier H70878)"	H70878	-6	A	8	A	6	A	8	A	0	A	-1	A	0	A	-2	A	-3	A	0	A	0	A	4	A	0	A	2	A	0	A	6	A	7	A
"ESTs, Weakly similar to GAR22 protein [H.sapiens]"	H70912_f	-1	A	6	A	0	A	13	P	1	A	0	A	3	A	4	A	-3	A	-1	A	3	A	7	A	7	A	11	P	9	A	13	P	21	P
"ESTs, Weakly similar to GAR22 protein [H.sapiens]"	H70912_i	-7	A	-17	A	-2	A	-18	A	2	A	0	A	0	A	-3	A	-9	A	3	A	0	A	4	A	3	A	2	A	0	A	2	A	4	A
"ESTs, Weakly similar to GAR22 protein [H.sapiens]"	H70912_r_i	-9	A	-10	A	-3	A	-25	A	-4	A	-4	A	-6	A	3	A	-1	A	-4	A	-1	A	-4	A	-2	A	-6	A	4	A	10	A	9	A
"TNNC1 Troponin C1 (slow skeletal)"	H70924	2	A	-7	A	-1	A	-16	A	-1	A	0	A	-5	A	-2	A	-6	A	-1	A	3	A	1	A	-5	A	4	A	10	A	27	M	0	A
"ESTs"	H71122	5	A	7	A	13	A	7	A	8	A	3	A	-3	A	8	A	3	A	1	A	-1	A	5	A	-4	A	10	A	3	A	2	A	11	A
"APOC3 Apolipoprotein C-III"	H71150	43	A	134	A	81	P	99	P	16	A	33	P	33	P	41	P	36	A	59	M	41	P	104	P	60	P	46	A	35	A	26	A	31	A
"PDGFRB Platelet-derived growth factor receptor, beta polypeptide"	H71191	0	A	-10	A	-18	A	-16	A	-1	A	-11	A	-12	A	-15	A	-9	A	-8	A	-9	A	-2	A	-7	A	-16	A	-19	A	-13	A	-22	A
"ANTITHROMBIN-III PRECURSOR"	H71210	9	A	19	P	1	A	14	A	6	A	4	A	3	A	0	A	5	A	2	A	5	A	1	A	2	A	-2	A	0	A	0	A	8	A
"PROTHROMBIN PRECURSOR"	H71214	0	A	23	A	18	A	37	A	2	A	1	A	10	A	11	P	3	A	-1	A	4	A	3	A	9	A	10	A	8	A	9	A	-1	A
"No cluster in current Unigene and no Genbank entry for H71465 (qualifier H71465)"	H71465	12	A	20	A	11	A	12	A	6	A	16	A	15	A	6	A	-1	A	1	A	14	A	11	A	3	A	24	A	15	A	31	P	15	A
"ESTs, Moderately  similar to LEUKOCYTE COMMON ANTIGEN PRECURSOR [Homo sapiens]"	H71488	26	P	11	A	34	P	42	P	6	A	15	P	22	P	46	P	7	A	1	A	19	P	19	P	41	P	41	P	49	P	67	P	165	P
"ESTs, Weakly similar to homologous to mouse gene PC326:GenBank Accession Number M95564 [H.sapiens]"	H71627	35	P	65	P	30	P	100	P	51	P	77	P	84	P	140	P	52	P	35	P	39	P	69	P	72	P	49	P	49	P	48	P	53	P
"ESTs"	H71666	-3	A	-4	A	-3	A	0	A	5	A	2	A	-12	A	-11	A	1	A	11	A	-1	A	-3	A	2	A	14	A	-10	A	3	A	2	A
"No cluster in current Unigene and no Genbank entry for H71863 (qualifier H71863_f)"	H71863_f	-6	A	4	A	9	A	-1	A	3	A	3	A	-2	A	7	A	-6	A	0	A	1	A	5	A	-1	A	11	A	3	A	1	A	11	A
"ARH6 Aplysia ras-related homolog 6"	H72011	-87	A	-178	A	-56	A	-83	A	-9	A	-12	A	-15	A	-7	A	-13	A	-11	A	-50	A	-37	A	-38	A	-8	A	-16	A	-1	A	-19	A
"No cluster in current Unigene and no Genbank entry for H72060 (qualifier H72060)"	H72060	16	P	12	A	10	A	20	P	13	A	18	P	25	P	24	P	4	A	16	P	6	P	17	P	14	P	27	P	23	P	19	P	20	P
"No cluster in current Unigene and no Genbank entry for H72110 (qualifier H72110)"	H72110	35	P	58	P	45	P	66	P	34	P	32	P	53	P	38	P	29	P	17	A	18	P	28	P	27	P	53	P	39	P	40	P	52	P
"ESTs"	H72231	-4	A	6	A	4	A	11	A	1	A	4	A	184	P	-2	A	-1	A	-3	A	-1	A	-3	A	-1	A	7	P	4	A	3	A	0	A
"DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE"	H72234	317	P	458	P	252	P	157	P	160	P	172	P	173	P	114	P	78	P	78	P	108	P	76	P	43	P	205	P	250	P	240	P	196	P
"ESTs"	H72764	-1	A	6	A	0	A	11	P	-3	A	2	A	9	A	-8	A	0	A	2	A	0	A	-2	A	-2	A	-2	A	6	A	5	A	2	A
"ALAS1 Aminolevulinate, delta-, synthase 1"	H72850	119	P	114	P	370	P	268	P	16	P	34	P	22	P	65	P	90	P	154	P	482	P	997	P	957	P	144	P	106	P	214	P	209	P
"No cluster in current Unigene and no Genbank entry for H72939 (qualifier H72939)"	H72939	0	A	-9	A	-1	A	13	P	2	A	0	A	4	A	1	A	5	A	3	A	-1	A	0	A	1	A	1	A	2	A	6	A	3	A
"26S PROTEASE REGULATORY SUBUNIT 7"	H72965	186	P	188	P	131	P	135	P	84	P	139	P	133	P	83	P	57	P	86	P	132	P	111	P	120	P	219	P	256	P	209	P	240	P
"RHD Rhesus blood group, D antigen"	H73050_i	-8	A	-19	A	-7	A	-14	A	-3	A	-4	A	-9	A	-12	A	4	A	3	A	-6	A	-1	A	-4	A	-11	A	-7	A	-3	A	1	A
"RHD Rhesus blood group, D antigen"	H73050_r	1	A	1	A	2	A	-6	A	-2	A	-2	A	-3	A	3	A	1	A	1	A	2	A	-2	A	-1	A	1	A	2	A	3	A	0	A
"No cluster in current Unigene and no Genbank entry for H73062 (qualifier H73062)"	H73062	3	A	8	A	5	A	12	A	1	A	4	A	2	A	11	A	4	A	0	A	-1	A	0	A	0	A	-1	A	3	A	4	A	6	A
"No cluster in current Unigene and no Genbank entry for H73086 (qualifier H73086)"	H73086	-3	A	1	A	0	A	-12	A	3	A	-1	A	0	A	-4	A	-5	A	-1	A	-2	A	0	A	-1	A	12	A	5	A	-2	A	0	A
"ESTs, Weakly similar to HYPOTHETICAL 113.8 KD PROTEIN IN ERG7-NMD2 INTERGENIC REGION [Saccharomyces cerevisiae]"	H73160	-3	A	5	A	9	A	15	P	5	A	9	A	12	A	15	A	8	A	4	A	6	A	2	A	4	A	14	A	22	P	28	P	73	P
"VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR"	H73214	5	A	4	A	8	A	19	A	7	A	15	A	9	A	7	A	16	P	-6	A	5	A	10	A	16	A	8	A	1	A	17	A	20	P
"No cluster in current Unigene and no Genbank entry for H73279 (qualifier H73279_f)"	H73279_f	-49	A	-34	A	-59	A	-112	A	-46	A	-42	A	-49	A	-78	A	-35	A	-34	A	-33	A	-46	A	-34	A	-62	A	-69	A	-53	A	-58	A
"No cluster in current Unigene and no Genbank entry for H73279 (qualifier H73279_i)"	H73279_i	-98	A	-127	A	-62	A	-186	A	-78	A	-38	A	-67	A	-77	A	-54	A	-33	A	-39	A	-46	A	-39	A	-72	A	-68	A	-62	A	-77	A
"ESTs"	H73284	-2	A	-3	A	-10	A	-3	A	4	A	-2	A	-5	A	2	A	2	A	-5	A	1	A	-9	A	-1	A	-6	A	-3	A	3	A	-1	A
"No cluster in current Unigene and no Genbank entry for H73336 (qualifier H73336)"	H73336	8	A	14	A	5	A	19	M	0	A	0	A	5	A	-3	A	10	A	5	A	4	A	3	A	5	A	4	A	0	A	2	A	-1	A
"Steroid receptor coactivator (SRC-1) mRNA"	H73413	-6	A	-19	A	-4	A	-22	A	-7	A	3	A	-3	A	2	A	-5	A	-18	A	-15	A	-13	A	-3	A	3	P	-5	P	-3	A	0	A
"INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR"	H73619	-5	A	-13	A	-21	A	-20	A	0	A	-5	A	-17	A	-5	A	-2	A	-1	A	-7	A	-10	A	-4	A	-1	A	-5	A	-10	A	-15	A
"No cluster in current Unigene and no Genbank entry for H73714 (qualifier H73714)"	H73714	-2	A	3	A	9	A	-20	A	-5	A	-6	A	-8	A	2	A	-10	A	-4	A	4	A	1	A	-5	A	-4	A	-4	A	-4	A	-11	A
"ESTs, Moderately similar to mitogen-activated kinase kinase kinase 5 [H.sapiens]"	H73751_f	3	A	-12	A	-1	A	-41	A	5	A	-5	A	2	A	-9	A	-10	A	-2	A	3	A	-3	A	-5	A	-3	A	-11	A	-3	A	-4	A
"ESTs, Moderately similar to mitogen-activated kinase kinase kinase 5 [H.sapiens]"	H73751_i	-21	A	-39	A	-46	A	-49	A	-21	A	-14	A	-19	A	-15	A	-19	A	-9	A	-7	A	-13	A	-11	A	-10	A	-25	A	-1	A	-14	A
"ESTs"	H73757_f	12	A	20	A	3	A	-1	A	7	A	3	A	10	A	2	A	5	A	2	A	4	A	4	A	-1	A	19	P	5	A	8	A	14	P
"ESTs"	H73757_i	-6	A	-1	A	-12	A	-2	A	0	A	-12	A	-6	A	-6	A	0	A	0	A	-4	A	-8	A	-10	A	-9	A	-12	A	1	A	-26	A
"ESTs"	H73757_r_i	-2	A	-1	A	0	A	-17	A	-3	A	-6	A	-6	A	-8	A	3	A	-1	A	-4	A	-6	A	-2	A	4	A	-6	A	0	A	-5	A
"FATTY ACID-BINDING PROTEIN, EPIDERMAL"	H73758	1117	P	751	P	833	P	115	P	504	P	513	P	630	P	635	P	159	P	381	P	325	P	168	P	199	P	321	P	464	P	384	P	226	P
"No cluster in current Unigene and no Genbank entry for H73908 (qualifier H73908)"	H73908	245	P	229	P	321	P	644	P	233	P	287	P	369	P	423	P	27	P	129	P	150	P	163	P	185	P	343	P	344	P	251	P	274	P
"CDK7 Cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)"	H73943	15	A	41	P	30	P	31	P	6	A	7	A	5	A	5	A	5	A	30	P	5	A	15	P	15	A	34	P	13	A	24	P	37	P
"EST"	H73947	12	A	-8	A	4	A	-7	A	4	A	9	A	13	P	11	A	4	A	4	A	5	A	8	A	6	A	17	A	9	A	18	A	16	A
"ESTs, Highly  similar to CALPAIN 2, LARGE [Sus scrofa]"	H73962	-1	A	7	A	0	A	0	A	-1	A	0	A	0	A	-2	A	-1	A	-1	A	-5	A	4	A	0	A	-2	A	2	A	0	A	9	A
"ESTs, Highly  similar to SERINE/THREONINE-PROTEIN KINASE SGK [Rattus norvegicus]"	H74007	-5	A	3	A	14	A	35	P	-2	A	26	P	6	A	85	P	1	A	2	A	4	A	8	A	8	A	13	A	9	P	12	A	15	P
"FKBP3 FK506-binding protein 3 (25kD)"	H74178	36	P	34	P	68	P	164	P	7	A	15	P	8	P	11	A	10	P	1	A	17	P	11	P	16	A	26	P	28	P	18	P	40	P
"ESTs"	H74197	3	A	10	A	5	A	-2	A	4	A	2	A	3	A	-3	A	-2	A	2	A	-1	A	-1	A	-2	A	1	A	4	A	5	A	1	A
"BCL2 B cell lymphoma protein 2"	H74208	7	A	11	A	14	A	-3	A	-8	A	0	A	8	A	-7	A	11	P	6	A	3	A	3	A	2	A	-3	A	10	A	4	A	-12	A
"PTPRC Protein tyrosine phosphatase, receptor type, c polypeptide"	H74265	16	P	3	A	17	A	25	P	11	P	8	P	13	P	28	P	9	A	6	A	12	P	10	A	34	P	35	P	17	P	31	P	73	P
"ESTs"	H74280	40	P	-7	A	27	M	-6	A	19	P	26	P	44	P	1	A	2	A	12	A	15	P	13	P	11	A	75	P	68	P	74	P	67	P
"F5 Coagulation factor V"	H74283	-4	A	10	A	8	A	18	A	-1	A	6	A	5	A	3	A	2	A	5	A	4	A	-3	A	-1	A	23	P	2	A	7	A	14	P
"ESTs, Weakly similar to coded for by C. elegans cDNA yk20f8.5 [C.elegans]"	H75382	36	P	34	P	20	A	28	P	20	A	16	P	29	P	17	P	13	A	8	A	17	P	9	A	4	A	37	A	15	P	22	P	29	P
"CAST Calpastatin"	H75527	-30	A	-38	A	-26	A	-72	A	3	A	2	A	-8	A	13	A	-11	A	-5	A	3	A	0	A	-3	A	22	A	5	A	4	A	4	A
"No cluster in current Unigene and no Genbank entry for H75547 (qualifier H75547)"	H75547	2	A	-9	A	-3	A	-11	A	-4	A	-3	A	-2	A	-2	A	5	P	3	A	1	A	-1	A	-2	A	-7	A	-1	A	-5	A	1	A
"No cluster in current Unigene and no Genbank entry for H75632 (qualifier H75632)"	H75632	-2	A	-7	A	6	A	1	A	4	A	1	A	2	A	-3	A	-7	A	2	A	2	A	3	A	-2	A	2	A	-2	A	3	A	2	A
"No cluster in current Unigene and no Genbank entry for H75746 (qualifier H75746)"	H75746	-4	A	2	A	-3	A	-5	A	-2	A	0	A	5	A	0	A	-6	A	1	A	0	A	3	A	-1	A	4	A	0	A	4	A	4	A
"No cluster in current Unigene and no Genbank entry for H75866 (qualifier H75866)"	H75866	-8	A	5	A	3	A	0	A	0	A	0	A	2	A	4	A	0	A	4	A	0	A	-2	A	1	A	6	A	5	A	-5	A	3	A
"PI Protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin"	H75867	11	A	-4	A	8	A	4	A	10	A	8	A	9	A	13	A	-3	A	3	A	12	A	0	A	12	P	31	A	14	A	11	A	10	A
"No cluster in current Unigene and no Genbank entry for H75955 (qualifier H75955)"	H75955	22	A	21	A	32	M	16	A	12	P	5	A	27	P	12	A	7	A	1	A	12	A	17	P	10	A	18	M	21	P	26	P	19	P
"UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1"	H77302	1743	P	1617	P	1502	P	1746	P	2457	P	2707	P	3113	P	2057	P	1451	P	1373	P	1497	P	1356	P	1412	P	1748	P	1923	P	1777	P	2004	P
"No cluster in current Unigene and no Genbank entry for H77306 (qualifier H77306_f)"	H77306_f	0	A	0	A	6	A	18	P	3	A	0	A	6	A	7	A	6	A	-2	A	0	A	2	A	0	A	-3	A	3	A	0	A	-9	A
"No cluster in current Unigene and no Genbank entry for H77306 (qualifier H77306_i)"	H77306_i	-2	A	-2	A	1	A	-2	A	-1	A	2	A	1	A	-5	A	11	A	-5	A	-1	A	1	A	-1	A	-1	A	4	A	4	A	1	A
"Microsomal glutathione S-transferase (GST-II) mRNA"	H77348	213	P	192	P	222	P	103	P	116	P	111	P	100	P	113	P	14	P	15	P	12	P	26	P	32	P	5	A	1	A	6	A	-1	A
"COAGULATION FACTOR XIII A CHAIN"	H77385	-5	A	-10	A	-8	A	-6	A	0	A	1	A	-7	A	-4	A	-3	A	-7	A	-1	A	1	A	1	A	1	A	-3	A	-6	A	3	A
"No cluster in current Unigene and no Genbank entry for H77502 (qualifier H77502)"	H77502	7	A	1	A	12	A	-3	A	0	A	5	A	2	A	-1	A	-3	A	0	A	1	A	1	A	3	A	-4	A	4	A	0	A	5	A
"KIAA0102 gene"	H77510	112	P	56	P	110	P	60	P	48	P	92	P	74	P	62	P	17	P	32	P	46	P	39	P	34	P	98	P	110	P	110	P	144	P
"ESTs"	H77536	-19	A	-52	A	-10	A	-1	A	2	A	1	A	-2	A	-13	A	-6	A	-19	A	-19	A	-22	A	-3	A	3	A	11	A	-4	A	-5	A
"EST, Highly similar to METALLOTHIONEIN-IA [H.sapiens]"	H77597	-137	M	19	A	-35	A	5	A	-1	A	-38	A	-11	A	10	A	-38	A	46	P	-7	P	2	P	-7	P	-20	A	11	P	-51	A	-25	A
"ESTs"	H77603	2	A	-3	A	28	P	-1	A	-4	A	1	A	-1	A	2	A	11	A	4	A	8	A	4	A	-2	A	18	A	1	A	1	A	-8	A
"AHR AH-receptor"	H77662_f	2	A	6	A	7	A	17	P	5	A	9	A	0	A	3	A	7	A	1	A	3	A	4	A	7	A	-4	A	4	A	0	A	1	A
"3-HYDROXYANTHRANILATE 3,4-DIOXYGENASE"	H78063	27	A	9	A	9	A	5	A	4	A	1	A	11	A	10	A	16	A	22	A	-3	A	-10	A	0	A	3	A	24	A	-8	A	14	A
"No cluster in current Unigene and no Genbank entry for H78329 (qualifier H78329)"	H78329	10	A	3	A	0	A	13	A	4	A	6	A	18	P	7	A	3	A	4	A	4	A	2	A	0	A	14	A	8	P	15	P	7	A
"ESTs, Highly similar to FKHR protein [H.sapiens]"	H78346	24	P	22	A	18	A	30	A	12	A	13	A	18	A	12	A	3	A	10	A	7	A	13	P	8	A	13	P	18	P	17	A	6	A
"ESTs, Weakly similar to C05G5.5 [C.elegans]"	H78374	8	A	3	A	10	A	1	A	1	A	1	A	-2	A	2	A	10	P	4	A	-1	A	1	A	2	A	6	A	6	A	10	A	3	A
"INTERLEUKIN-1 RECEPTOR, TYPE II PRECURSOR"	H78386	2	A	13	A	0	A	25	M	9	A	2	A	14	A	3	A	0	A	5	A	4	A	3	A	2	A	22	P	5	A	8	A	5	A
"No cluster in current Unigene and no Genbank entry for H78400 (qualifier H78400)"	H78400	-3	A	-2	A	18	A	-11	A	3	A	0	A	-3	A	-7	A	-5	A	0	A	4	A	-1	A	-2	A	0	A	-3	A	2	A	9	A
"ESTs, Weakly similar to zinc finger protein [R.norvegicus]"	H78404	-2	A	2	A	4	A	5	A	0	A	0	A	1	A	1	A	1	A	-1	A	-1	A	0	A	1	A	13	A	13	A	6	A	17	P
"ESTs, Highly  similar to D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR [Homo sapiens]"	H78807	22	A	42	P	13	A	5	A	12	A	11	A	4	A	2	A	14	P	8	A	14	A	11	A	2	A	8	A	7	A	1	A	2	A
"ESTs, Highly  similar to PLECKSTRIN [Homo sapiens]"	H78816	-12	A	-1	A	2	A	1	A	6	A	-1	A	6	A	-11	A	-6	A	0	A	2	A	0	A	0	A	-8	A	2	A	-1	A	2	A
"ESTs, Highly  similar to CALCYPHOSINE [Canis familiaris]"	H78819	10	A	1	A	-1	A	-3	A	7	A	-1	A	9	P	21	A	1	A	7	A	11	A	13	A	8	P	21	P	13	A	10	A	22	P
"A2M Alpha-2-macroglobulin"	H79136	1	A	-5	A	0	A	5	A	2	A	-3	A	-5	A	19	M	2	A	-1	A	0	A	-6	A	-1	A	-10	A	-3	A	8	A	-1	A
"No cluster in current Unigene and no Genbank entry for H79296 (qualifier H79296)"	H79296	-7	A	1	A	10	A	-11	A	-1	A	2	A	-3	A	1	A	-4	A	2	A	-1	A	2	A	-12	A	-2	A	-9	A	-4	A	-7	A
"ESTs"	H79329	-4	A	13	A	15	P	27	M	3	A	7	A	10	A	0	A	2	A	3	A	2	A	4	A	5	A	3	A	6	A	2	A	15	P
"ITGA4 Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"	H79341	7	A	9	A	4	A	12	A	3	A	9	A	11	A	6	A	13	A	6	A	4	A	4	A	5	A	2	A	9	A	12	A	15	M
"No cluster in current Unigene and no Genbank entry for H79349 (qualifier H79349)"	H79349	22	A	27	A	18	A	14	A	11	A	10	A	27	A	18	A	16	A	4	A	7	A	9	A	14	A	26	A	26	A	18	A	21	A
"NF-E2 protein (NF-E2) mRNA"	H79492	8	A	12	A	3	A	6	A	2	A	0	A	2	A	-2	A	40	P	108	P	20	P	24	P	7	A	4	A	-9	A	6	A	2	A
"ESTs, Highly  similar to MKR2 PROTEIN [Mus musculus]"	H79507	5	A	1	A	3	A	13	A	0	A	-2	A	4	A	2	A	1	A	0	A	1	A	2	A	2	A	-4	A	-5	A	-2	A	3	A
"No cluster in current Unigene and no Genbank entry for H79575 (qualifier H79575)"	H79575	81	A	90	A	96	P	158	A	68	P	106	P	142	P	93	P	17	A	26	P	50	P	43	P	119	P	154	P	74	P	106	P	71	A
"C4BPA Complement component 4-binding protein, alpha"	H79713	-2	A	0	A	15	P	3	A	-2	A	3	A	1	A	5	A	-3	A	1	A	-11	A	4	A	8	A	7	A	3	A	7	A	6	A
"PLGL Plasminogen-like protein"	H79781	0	A	-1	A	0	A	1	A	0	A	-1	A	-2	A	2	A	-2	A	7	A	-5	A	3	A	2	A	12	A	3	A	5	A	-4	A
"No cluster in current Unigene and no Genbank entry for H79817 (qualifier H79817)"	H79817	-5	A	4	A	-8	A	4	M	0	A	1	A	0	A	2	A	-1	A	2	A	7	A	0	A	1	A	21	P	15	A	34	P	7	A
"No cluster in current Unigene and no Genbank entry for H79819 (qualifier H79819)"	H79819	15	P	37	P	47	P	14	A	32	P	62	P	37	P	4	A	132	P	182	P	109	P	104	P	71	P	71	P	76	P	68	P	47	P
"No cluster in current Unigene and no Genbank entry for H79823 (qualifier H79823)"	H79823	6	A	-9	A	-3	A	1	A	-4	A	2	A	4	A	-2	A	3	A	-2	A	-1	A	2	A	1	A	-10	A	-1	A	0	A	2	A
"RPLP2 Hemoglobin, beta"	H79852	2066	P	3556	P	2916	P	3616	P	2812	P	3325	P	4108	P	3283	P	2817	P	2883	P	2448	P	2392	P	1887	P	3030	P	3280	P	3996	P	3580	P
"No cluster in current Unigene and no Genbank entry for H79974 (qualifier H79974_f)"	H79974_f	3	A	1	A	4	A	-11	A	4	A	-1	A	-1	A	3	A	-4	A	-2	A	3	A	1	A	4	A	-11	A	5	A	0	A	6	A
"No cluster in current Unigene and no Genbank entry for H79974 (qualifier H79974_i)"	H79974_i	-3	A	-10	A	-5	A	-1	A	6	A	0	A	-6	A	-1	A	1	A	2	A	0	A	-1	A	-1	A	1	A	-1	A	0	A	3	A
"No cluster in current Unigene and no Genbank entry for H79974 (qualifier H79974_r_i)"	H79974_r_i	0	A	0	A	-5	A	6	A	2	A	-1	A	0	A	0	A	-5	A	-1	A	0	A	-5	A	-8	A	-2	A	2	A	3	A	-7	A
"No cluster in current Unigene and no Genbank entry for H80032 (qualifier H80032)"	H80032	-25	A	-8	A	-1	A	-15	A	-13	A	-16	A	-27	A	-7	A	-18	A	-8	A	-9	A	-8	A	3	A	1	A	-13	A	0	A	-9	A
"BST-1"	H80057_f	-2	A	10	A	1	A	-9	A	6	A	7	A	1	A	3	A	7	A	3	A	0	A	4	A	1	A	1	A	1	A	3	A	0	A
"RCH1 RAG (recombination activating gene) cohort 1"	H80114	203	P	352	P	257	P	185	P	89	P	22	P	38	P	41	P	98	P	196	P	145	P	194	P	205	P	314	P	180	P	301	P	277	P
"ESTs"	H80152	55	P	32	P	52	P	9	A	18	P	47	P	37	P	26	P	3	A	28	P	36	P	32	P	28	P	50	P	68	P	65	P	53	P
"No cluster in current Unigene and no Genbank entry for H80215 (qualifier H80215_f)"	H80215_f	25	P	16	P	27	P	9	A	-1	A	10	P	9	M	1	A	-9	A	7	A	0	A	2	A	8	A	3	A	9	A	6	A	14	A
"No cluster in current Unigene and no Genbank entry for H80215 (qualifier H80215_i)"	H80215_i	19	P	17	A	39	P	29	P	11	A	8	A	29	P	6	A	10	A	4	A	1	A	-1	A	1	A	7	A	9	A	6	A	5	A
"No cluster in current Unigene and no Genbank entry for H80240 (qualifier H80240_f)"	H80240_f	341	P	539	P	310	P	1559	P	731	P	635	P	688	P	819	P	163	P	211	P	231	P	492	P	602	P	931	P	644	P	573	P	670	P
"No cluster in current Unigene and no Genbank entry for H80240 (qualifier H80240_i)"	H80240_i	681	A	99	A	130	P	228	P	629	A	566	A	726	P	664	P	121	A	208	P	231	P	354	A	502	P	741	P	606	A	614	P	655	A
"ESTs, Highly  similar to COAGULATION FACTOR XII PRECURSOR [Homo sapiens]"	H80259	-4	A	2	A	-15	A	-5	A	0	A	-6	A	1	A	-7	A	-9	A	-6	A	-9	A	-17	A	-12	A	3	A	11	A	15	A	-7	A
"No cluster in current Unigene and no Genbank entry for H80262 (qualifier H80262)"	H80262	29	A	20	A	-17	A	42	A	7	A	-1	A	11	P	9	A	8	A	11	A	7	A	8	A	10	A	14	A	8	A	18	P	2	A
"ESTs, Highly  similar to TUBULIN BETA-5 CHAIN [Gallus gallus]"	H80342	165	P	200	P	188	P	47	P	35	P	76	P	58	P	46	P	41	P	37	P	23	P	9	A	9	A	-10	A	2	A	-4	A	-6	A
"IGHM Immunoglobulin mu"	H80543	9	A	-15	A	-7	P	22	M	1	A	8	A	7	A	6	A	7	A	19	A	30	A	21	A	26	A	34	A	17	P	17	A	22	A
"ESTs"	H80739	5	A	5	A	2	A	19	A	1	A	-1	A	-1	A	-3	A	5	A	-1	A	0	A	4	A	4	A	2	A	-2	A	1	A	4	A
"ESTs"	H80809	5	A	13	A	3	A	8	A	8	A	20	P	-1	A	22	P	22	P	24	P	14	A	14	A	13	A	19	P	16	A	14	P	11	A
"LCAT Lecithin-cholesterol acyltransferase"	H80975	-2	A	-2	A	12	A	1	A	1	A	0	A	-6	A	6	A	-1	A	-3	A	3	A	-5	A	5	A	-2	A	0	A	15	A	11	A
"ESTs"	H81068	23	A	195	P	226	P	299	P	174	P	211	P	279	P	175	P	107	P	76	P	60	P	73	P	103	P	270	P	224	P	250	P	222	P
"PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT"	H81202_i	-21	A	-22	A	-6	A	-12	A	2	A	-10	A	-2	A	-5	A	-15	A	-12	A	-18	A	-24	A	-1	A	-4	A	-4	A	-3	A	-5	A
